"country","sum_measles","sum_rubella","sum_m_r","sum_discard","sum_total_discard","sum_lab_m","sum_epi_m","sum_clinic_m","sum_lab_r","sum_epi_r","sum_clinic_r","sum_pop_m","sum_pop_r","sum_pop_mr"
"Afghanistan",37073,1097,38170,20987,59157,36019,897,157,1093,4,0,1153,30.53,1183.53
"Albania",2029,1,2030,1841,3871,1824,3,202,1,0,0,709.52,0.36,709.88
"Algeria",3628,152,3780,738,4518,1897,137,1594,152,0,0,89.2,3.72,92.92
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",34200,578,34778,4414,39192,3992,26032,4176,578,0,0,1193.38,20.2,1213.58
"Antigua and Barbuda",1,0,1,9,10,1,0,0,0,0,0,11,0,11
"Argentina",268,3,271,6870,7141,231,12,25,3,0,0,6.95,0.07,7.02
"Armenia",1203,0,1203,3177,4380,1184,18,1,0,0,0,409.87,0,409.87
"Australia",1518,0,1518,0,1518,1430,88,0,0,0,0,65.92,0,65.92
"Austria",1739,1,1740,223,1963,1553,157,29,0,1,0,208.04,0.11,208.15
"Azerbaijan",30924,11,30935,6096,37031,2484,9692,18748,9,0,2,2997.53,1.08,2998.61
"Bahamas",3,0,3,14,17,2,1,0,0,0,0,7.6,0,7.6
"Bahrain",106,17,123,7234,7357,97,0,9,17,0,0,80.01,13.02,93.03
"Bangladesh",19714,7999,27713,53472,81185,12395,5535,1784,2185,5814,0,121.17,50.77,171.94
"Barbados",0,0,0,185,185,0,0,0,0,0,0,0,0,0
"Belarus",1295,8,1303,4453,5756,1284,3,8,8,0,0,140.99,0.87,141.86
"Belgium",2048,0,2048,517,2565,1499,306,243,0,0,0,182,0,182
"Belize",7,0,7,370,377,2,5,0,0,0,0,39.72,0,39.72
"Benin",5866,141,6007,3405,9412,3096,1159,1611,141,0,0,525.67,12.21,537.88
"Bhutan",122,30,152,2169,2321,104,0,18,30,0,0,169.33,40.13,209.46
"Bolivia (Plurinational State of)",6,0,6,1985,1991,5,1,0,0,0,0,0.6,0,0.6
"Bosnia and Herzegovina",7724,19,7743,21,7764,588,139,6997,1,0,18,2267.06,5.61,2272.67
"Botswana",161,725,886,3245,4131,65,0,96,725,0,0,71.89,331.87,403.76
"Brazil",41288,0,41288,82852,124140,41288,0,0,0,0,0,199.27,0,199.27
"Brunei Darussalam",9,0,9,242,251,9,0,0,0,0,0,21,0,21
"Bulgaria",1715,2,1717,16,1733,1536,114,65,0,0,2,245.99,0.3,246.29
"Burkina Faso",17640,211,17851,4290,22141,4870,2757,10013,211,0,0,881.85,11.85,893.7
"Burundi",7097,278,7375,2369,9744,832,5975,290,278,0,0,555.06,24,579.06
"Cabo Verde",6,0,6,3,9,1,2,3,0,0,0,11.63,0,11.63
"Cambodia",2878,339,3217,13633,16850,2878,0,0,336,0,3,249.93,21.73,271.66
"Cameroon",22421,929,23350,10705,34055,5525,14573,2323,929,0,0,907.02,41.68,948.7
"Canada",3177,1,3178,0,3178,2069,1107,1,1,0,0,158.13,0.03,158.16
"Central African Republic",8548,1117,9665,3403,13068,2082,4214,2252,1117,0,0,1732.17,235.27,1967.44
"Chad",11348,682,12030,4961,16991,4938,3890,2520,682,0,0,684.83,45.05,729.88
"Chile",46,1,47,3369,3416,46,0,0,1,0,0,2.44,0.05,2.49
"China",172872,125908,298780,434500,733280,162159,689,10024,34141,3864,87903,125.05,90.53,215.58
"Colombia",448,0,448,22445,22893,445,3,0,0,0,0,9.05,0,9.05
"Comoros",101,7,108,539,647,65,20,16,7,0,0,128.17,8.33,136.5
"Congo",3814,361,4175,2700,6875,1877,1711,226,361,0,0,775.54,69.35,844.89
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",12,0,12,736,748,12,0,0,0,0,0,2.67,0,2.67
